number,uso_bici,address,lat,lon,total,nombre,coddistrit,codbarrio
199,790,Beato Nicolás Factor - Convento de Jesús,39.46158829801141,-0.39155844823975844,15,PATRAIX,8,1
200,662,Av. del Cid - Julián Peña,39.467737319045916,-0.3932144497376184,15,NOU MOLES,7,1
201,659,Perez Galdós - Nou Moles,39.47171233289752,-0.39366844724894096,20,NOU MOLES,7,1
202,822,Pechina - Teruel,39.47622234753723,-0.39333444304417053,20,LA PETXINA,3,3
203,499,Reina Violante - Escultor García Mas,39.48460937883364,-0.40118246297404103,15,SANT PAU,4,4
204,633,Corts Valencianes - General Avilés,39.485843380594176,-0.3965874461307865,20,SANT PAU,4,4
205,663,Nicasio Benlloch - Amics dels Corpus,39.48928739053543,-0.3930904323547156,24,BENICALAP,16,1
206,394,Periodista Gil Sumbiela - Poeta Serrano Clavero,39.49271239990425,-0.38900741524280136,15,BENICALAP,16,1
207,518,"Giorgeta, 64",39.45539327294658,-0.381905420300487,15,LA RAIOSA,9,1
208,613,Carteros - Mossen Febrer,39.451692263769644,-0.38857844617931064,20,LA CREU COBERTA,9,3
209,496,Gaspar Aguilar - Músico Penella,39.45208226727133,-0.39301546105732643,18,L'HORT DE SENABRE,9,2
210,710,Campos Crespo - Juan de Garay,39.45555328036534,-0.39671647037206986,15,FAVARA,8,5
211,381,Fray Junípero Serra - Vall d'Uixó,39.45872629171394,-0.3977574716661004,15,SAFRANAR,8,4
212,317,Fray Juanípero Serra - Torrente,39.46148430130945,-0.40039647823746194,15,VARA DE QUART,8,3
213,309,Archiduque Carlos - José María Mortes Lerma,39.463165305912604,-0.39697246591763863,15,PATRAIX,8,1
214,396,"Santa Cruz de Tenerife, 21",39.464932313028335,-0.4005764763988502,15,TRES FORQUES,7,3
215,301,Músico Ayllón - Francisco Dolz,39.46567131414367,-0.39674846254882856,15,TRES FORQUES,7,3
216,662,Av. del Cid - Burgos,39.469162243634074,-0.3994613007254756,17,NOU MOLES,7,1
217,340,Pintor Stolz - Nueve de Octubre,39.47032833321364,-0.40459648652865626,25,NOU MOLES,7,1
218,587,Olimpia Arozena Torres - Juan Bautista Vives,39.47074033078547,-0.3973844614710405,15,NOU MOLES,7,1
219,454,Castán Tobeñas - Rincon de Ademuz,39.47265724610551,-0.40303029799024204,18,NOU MOLES,7,1
220,621,Castán Tobeñas - Patriques,39.47385534208041,-0.3983214623957442,16,NOU MOLES,7,1
221,544,Manuel de Falla - Hernández Lázaro,39.475270348637764,-0.4028534760386356,20,SANT PAU,4,4
222,945,Maestro Rodrigo - Manuel de Falla,39.47689335174765,-0.39728245609920837,20,CAMPANAR,4,1
223,416,Valle de la Ballestera - Hospital Nueve de Octubre,39.47855835893999,-0.4011874677803583,20,SANT PAU,4,4
224,394,Jorge Comin (Metge) - Terrateig,39.480568366964896,-0.40358847435527895,20,SANT PAU,4,4
225,367,Padre Barranco - Carlos Ruano Llopis (Pintor),39.488107390420495,-0.40114246019172434,20,SANT PAU,4,4
226,855,Corts Valencianes - La Safor,39.49086439918327,-0.3988594505654264,30,BENICALAP,16,1
227,229,San Clemente - Hospital Arnau de Vilanova,39.49024839844318,-0.40293146422681364,20,SANT PAU,4,4
228,375,Doctor Nicasio Benlloch - L'Horta Sud,39.4936924079167,-0.398671446907537,15,BENICALAP,16,1
229,434,Aitana - Florista,39.493104403991694,-0.39480643424749534,16,BENICALAP,16,1
230,353,Poeta Serrano Clavero - General Llorens,39.49475040560395,-0.38678440634001116,15,BENICALAP,16,1
231,267,Alcañiz - Cambrils,39.49507240298451,-0.3786213772644184,15,TORREFIEL,15,2
232,499,San Vicente Paul - Santiago Rusiñol,39.49464439592328,-0.36575333473149996,15,SANT LLORENS,15,3
233,451,San Juan Bosco - Santiago Rusiñol,39.497160406039164,-0.36943734517384297,15,ELS ORRIOLS,15,1
234,408,Plaza Músico Espí,39.49649940567526,-0.3736443597891149,15,TORREFIEL,15,2
235,231,Conde Torrefiel - Cecilio Plá,39.49804541205544,-0.3772033703255944,15,TORREFIEL,15,2
236,308,Rio Segre - Rafael Company,39.49506640496422,-0.38227839001583847,15,BENICALAP,16,1
237,364,Levante U.D. - Ecuador,39.494758407776374,-0.39103842063587124,15,BENICALAP,16,1
238,283,San Jose Artesano - Francisco Morote Greus,39.497449418355934,-0.39438342966293366,15,CIUTAT FALLERA,16,2
239,385,Florista - T4 (Palau de Congressos),39.4969854198013,-0.39996444953107335,20,BENIFERRI,18,2
240,219,Camp del Turia - Corts Valencianes,39.495004413973305,-0.40154745608135123,20,BENICALAP,16,1
241,217,La Vall d'Albaida - Corts Valencianes,39.49297840711153,-0.4018904586642118,15,SANT PAU,4,4
242,296,La Safor - Maestro Rodrigo,39.487907391410516,-0.4041974712326189,15,SANT PAU,4,4
243,548,Albacete - Maluquer,39.46282029901061,-0.3845424236611566,18,ARRANCAPINS,3,4
244,280,Valle de la Ballestera - Pio Baroja,39.47850636088407,-0.40613648554970433,20,SANT PAU,4,4
245,662,Nueve de Octubre - Cieza,39.47213024806011,-0.40527029936434095,20,NOU MOLES,7,1
246,594,Tres Cruces - Hospital General,39.469090330003425,-0.4065094941412157,20,LA FONTSANTA,7,4
247,393,Tres Cruces - Músico Ayllón,39.467410323935766,-0.4055734914728698,15,TRES FORQUES,7,3
248,362,Tres Cruces - Jose Maria Mortes Lerma,39.46284030885798,-0.40496949382893443,20,VARA DE QUART,8,3
249,254,Tres Cruces - Segunda República Española,39.459506295875165,-0.4027404883331656,15,VARA DE QUART,8,3
250,394,Tres Cruces - Pio XI,39.456352245577065,-0.4008070181198941,15,SANT ISIDRE,8,2
251,211,Arquitecto Segura del Lago - Camino Nuevo de Picaña,39.45583028505104,-0.4044134972721287,15,SANT ISIDRE,8,2
252,49,Dels Gremis - Campos Crespo,39.45028826570709,-0.40357449843597065,20,SANT ISIDRE,8,2
253,259,José Meliá Castelló - Campos Crespo,39.45272627278094,-0.4011014879360589,15,SANT ISIDRE,8,2
254,586,Doctor Tomás Sala - Carteros,39.447714251158565,-0.3899174536874086,19,L'HORT DE SENABRE,9,2
255,208,Tomas de Villarroya - San Vicente,39.447703249066144,-0.38602944085901075,18,SANT MARCEL.LI,9,4
256,736,Tres Forques - Turís,39.46396330656933,-0.39223544845537966,15,PATRAIX,8,1
257,319,"Plaza Salvador Soria, 8",39.44525124234686,-0.38910445245389036,20,SANT MARCEL.LI,9,4
258,173,Pintor Rafael Solves - Jose Soto Mico,39.43982822413676,-0.3891374575312111,15,CAMI REAL,9,5
259,321,Pio IX - Músico Cabanilles,39.44546024514969,-0.3930154660803912,20,CAMI REAL,9,5
260,239,Traginers - Pedrapiquers,39.45955629873093,-0.4072175039832668,20,VARA DE QUART,8,3
261,1168,Plaza Xuquer - Vinalopó,39.47667632834523,-0.35037729588168837,19,LA VEGA BAIXA,13,4
262,455,Tres Forques - Colonia Española de Mexico,39.463472312903384,-0.40922550688289966,20,LA FONTSANTA,7,4
263,244,Padre Esteban Pernet - Casa Misericordia,39.467043324648515,-0.4096445056541294,18,LA FONTSANTA,7,4
264,479,Av. del Cid - Marconi,39.46916033373618,-0.4144325204450301,20,LA LLUM,7,5
265,391,Alcasser - Poeta Alberto Lista,39.470973337167365,-0.40811749816977394,15,SOTERNES,7,2
266,167,Canal de Navarrés - Maestro Rodrigo,39.49028940014262,-0.40637147642320165,18,SANT PAU,4,4
267,197,Beniferri - Vicent Tomás Martí,39.49416841275147,-0.4059294716064297,16,BENIFERRI,18,2
268,76,"Plaza Luis Cano, 5",39.50144544298018,-0.41849350927046264,10,BENIMAMET,18,1
269,31,"Campamento, 81",39.49990744160243,-0.42626353678444817,15,BENIMAMET,18,1
270,153,Ninot - Regino Mas,39.50007542649037,-0.39288942312141745,16,CIUTAT FALLERA,16,2
271,178,Salvador Cerveró - Carlos Cortina,39.49927942267903,-0.38989141267304944,15,BENICALAP,16,1
272,719,Vicente la Roda - Ingeniero Fausto Elio,39.48062333339468,-0.33219023115385166,15,LA MALVA-ROSA,11,3
273,363,Moraira - Alta del Mar,39.450305232524904,-0.3332722584595297,15,NATZARET,11,5
274,236,San Francisco de Paula - Castell de Pop,39.44807022576504,-0.3331882593063431,15,NATZARET,11,5
275,454,Moreras - Rona de Nazaret,39.45230524022502,-0.3350652633218127,20,LA PUNTA,10,6
276,1115,Veles e Vents,39.46197526682713,-0.32376521655842594,20,EL GRAU,11,1
